"Fecha","PC_Encargado","IP_Encargado","Gateway","IP_Cliente","MAC_Cliente","Puerto_11100"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.105","08-BF-B8-A3-8B-95","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.111","08-BF-B8-A3-8A-CD","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.116","08-BF-B8-A3-8A-3C","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.128","08-BF-B8-BE-77-0D","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.144","04-7C-16-BD-C2-AD","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.152","08-BF-B8-36-70-4F","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.153","08-BF-B8-A2-2B-5F","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.162","08-BF-B8-A3-8B-32","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.170","08-BF-B8-BE-76-66","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.171","08-BF-B8-BE-76-FC","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.172","08-BF-B8-36-6B-32","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.176","08-BF-B8-36-6C-04","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.186","08-BF-B8-6E-20-29","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.188","08-BF-B8-6E-1F-F0","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.189","08-BF-B8-6E-1F-F5","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.194","08-BF-B8-36-6B-4A","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.202","08-BF-B8-36-6F-B6","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.212","08-BF-B8-36-6C-2A","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.223","08-BF-B8-36-6B-67","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.230","08-BF-B8-36-6E-6E","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.235","08-BF-B8-A2-2B-19","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.243","---","OPEN"
"2026-03-04 11:45:26","DESKTOP-IHLLLEQ","192.168.0.243","192.168.0.1","192.168.0.248","30-9C-23-0C-68-CD","OPEN"
