Equipo,IP_Actual,Estado
CASTEL-01,192.168.0.170,ONLINE
CASTEL-02,192.168.0.205,ONLINE
CASTEL-03,192.168.0.202,ONLINE
CASTEL-04,192.168.0.230,ONLINE
CASTEL-06,192.168.0.152,ONLINE
CASTEL-08,192.168.0.176,ONLINE
CASTEL-09,192.168.0.212,ONLINE
CASTEL-10,192.168.0.223,ONLINE
CASTEL-12,192.168.0.186,ONLINE
CASTEL-13,192.168.0.194,ONLINE
CASTEL-15,192.168.0.242,ONLINE
CASTEL-16,192.168.0.116,ONLINE
CASTEL-18,192.168.0.162,ONLINE
CASTEL-20,192.168.0.153,ONLINE
CASTEL-21,192.168.0.235,ONLINE
CASTEL-23,192.168.0.248,ONLINE
CASTEL-24,192.168.0.216,ONLINE
CASTEL-25,192.168.0.241,ONLINE
CASTEL-26,192.168.0.219,ONLINE
CASTEL-27,192.168.0.189,ONLINE
CASTEL-34,192.168.0.111,ONLINE
CASTEL-35,192.168.0.171,ONLINE
CASTEL-36,192.168.0.128,ONLINE
CASTEL-38,192.168.0.144,ONLINE
