CASTEL,IP,MAC,WakeStatus,VeyonPort11100
CASTEL-01,192.168.0.101,08-BF-B8-BE-76-66,On,OK
CASTEL-02,192.168.0.102,08-BF-B8-36-6C-21,On,OK
CASTEL-03,192.168.0.202,08-BF-B8-36-6F-B6,On,OK
CASTEL-04,192.168.0.104,08-BF-B8-36-6E-6E,On,OK
CASTEL-05,192.168.0.105,08-BF-B8-36-6E-D7,On,OK
CASTEL-06,192.168.0.106,08-BF-B8-36-70-4F,On,OK
CASTEL-07,192.168.0.107,08-BF-B8-36-6B-32,On,OK
CASTEL-08,192.168.0.108,08-BF-B8-36-6C-04,On,OK
CASTEL-09,192.168.0.109,08-BF-B8-36-6C-2A,On,OK
CASTEL-10,192.168.0.110,08-BF-B8-36-6B-67,On,OK
CASTEL-12,192.168.0.112,08-BF-B8-6E-20-29,On,OK
CASTEL-13,192.168.0.113,08-BF-B8-36-6B-4A,On,OK
CASTEL-14,192.168.0.114,30-9C-23-D4-B9-D2,On,OK
CASTEL-15,192.168.0.115,08-BF-B8-A3-8B-87,On,OK
CASTEL-16,192.168.0.116,08-BF-B8-A3-8A-3C,On,OK
CASTEL-18,192.168.0.118,08-BF-B8-A3-8B-32,On,OK
CASTEL-20,192.168.0.120,08-BF-B8-A2-2B-5F,On,OK
CASTEL-21,192.168.0.121,08-BF-B8-A2-2B-19,On,OK
CASTEL-22,192.168.0.122,08-BF-B8-6E-1F-F0,On,OK
CASTEL-23,192.168.0.123,30-9C-23-0C-68-CD,On,OK
CASTEL-24,192.168.0.124,08-BF-B8-6E-20-45,On,OK
CASTEL-25,192.168.0.125,08-BF-B8-6E-20-F3,On,OK
CASTEL-26,192.168.0.126,08-BF-B8-6E-20-4B,On,OK
CASTEL-27,192.168.0.127,08-BF-B8-6E-1F-F5,On,OK
CASTEL-28,192.168.0.180,04-7C-16-BD-C2-C6,On,OK
CASTEL-29,192.168.0.129,04-7C-16-BD-C2-CF,On,OK
CASTEL-30,192.168.0.130,04-7C-16-BD-C3-2F,On,OK
CASTEL-31,192.168.0.131,04-7C-16-BD-C2-9C,On,OK
CASTEL-32,192.168.0.132,04-7C-16-BD-C2-94,On,OK
CASTEL-34,192.168.0.134,08-BF-B8-A3-8A-CD,On,OK
CASTEL-35,192.168.0.135,08-BF-B8-BE-76-FC,On,OK
CASTEL-36,192.168.0.136,08-BF-B8-BE-77-0D,On,OK
CASTEL-37,192.168.0.137,08-BF-B8-A3-8B-95,On,OK
CASTEL-38,192.168.0.144,04-7C-16-BD-C2-AD,On,OK
CASTEL-39,192.168.0.139,08-BF-B8-BE-76-3A,On,OK
