IP Address,Computer Name,MAC Address,Network Adapter Company,User Text,Status,Workgroup,Broadcast Address,Port Number,Multiple Packets,Index
192.168.0.1,,1C-3B-F3-11-64-D7,"TP-LINK TECHNOLOGIES CO.,LTD.",,On,,,,,18
192.168.0.105,,08-BF-B8-A3-8B-95,ASUSTek COMPUTER INC.,,On,,,,,28
192.168.0.111,,08-BF-B8-A3-8A-CD,ASUSTek COMPUTER INC.,,On,,,,,29
192.168.0.113,,30-9C-23-AA-BF-E9,"Micro-Star INTL CO., LTD.",,On,,,,,30
192.168.0.116,,08-BF-B8-A3-8A-3C,ASUSTek COMPUTER INC.,,On,,,,,31
192.168.0.119,DESKTOP-HQOEG7Q,4C-CC-6A-31-30-6B,"Micro-Star INTL CO., LTD.",,On,,,,,32
192.168.0.120,,30-9C-23-D4-B9-E1,"Micro-Star INTL CO., LTD.",,On,,,,,33
192.168.0.123,,30-9C-23-84-A0-FB,"Micro-Star INTL CO., LTD.",,On,,,,,34
192.168.0.124,,30-9C-23-84-A0-FC,"Micro-Star INTL CO., LTD.",,On,,,,,35
192.168.0.128,DESKTOP-G29IPIP,08-BF-B8-BE-77-0D,ASUSTek COMPUTER INC.,,On,,,,,36
192.168.0.135,DESKTOP-8O0J1KO,30-9C-23-AA-C1-05,"Micro-Star INTL CO., LTD.",,On,,,,,37
192.168.0.137,DESKTOP-TLBJ6PS,4C-ED-FB-C0-9E-DF,ASUSTek COMPUTER INC.,,On,,,,,38
192.168.0.144,,04-7C-16-BD-C2-AD,"Micro-Star INTL CO., LTD.",,On,,,,,39
192.168.0.150,RNP0026738C52C6,00-26-73-8C-52-C6,"RICOH COMPANY,LTD.",,On,,,,,6
192.168.0.151,RNP00267373815D,00-26-73-73-81-5D,"RICOH COMPANY,LTD.",,On,,,,,7
192.168.0.152,DESKTOP-66HNF6P,08-BF-B8-36-70-4F,ASUSTek COMPUTER INC.,,On,,,,,40
192.168.0.153,,08-BF-B8-A2-2B-5F,ASUSTek COMPUTER INC.,,On,,,,,41
192.168.0.155,,70-4F-57-A2-95-87,"TP-LINK TECHNOLOGIES CO.,LTD.",,On,,,,,42
192.168.0.157,,30-9C-23-09-06-4C,"Micro-Star INTL CO., LTD.",,On,,,,,43
192.168.0.163,,30-9C-23-AA-C0-56,"Micro-Star INTL CO., LTD.",,On,,,,,44
192.168.0.164,BRN30055C8C0097,30-05-5C-8C-00-97,"Brother industries, LTD.",,On,,,,,4
192.168.0.169,,70-4F-57-A2-A5-F9,"TP-LINK TECHNOLOGIES CO.,LTD.",,On,,,,,1
192.168.0.170,,08-BF-B8-BE-76-66,ASUSTek COMPUTER INC.,,On,,,,,2
192.168.0.172,,08-BF-B8-36-6B-32,ASUSTek COMPUTER INC.,,On,,,,,3
192.168.0.173,,A8-42-A1-B4-54-F5,TP-Link Corporation Limited,,On,,,,,5
192.168.0.176,,08-BF-B8-36-6C-04,ASUSTek COMPUTER INC.,,On,,,,,8
192.168.0.186,,08-BF-B8-6E-20-29,ASUSTek COMPUTER INC.,,On,,,,,9
192.168.0.187,,18-A6-F7-2B-90-39,"TP-LINK TECHNOLOGIES CO.,LTD.",,On,,,,,10
192.168.0.190,DESKTOP-5E8S45M,D8-CB-8A-A2-8A-EA,"Micro-Star INTL CO., LTD.",,On,,,,,11
192.168.0.194,,08-BF-B8-36-6B-4A,ASUSTek COMPUTER INC.,,On,,,,,12
192.168.0.210,,30-68-93-55-80-B4,TP-Link Systems Inc.,,On,,,,,13
192.168.0.212,DESKTOP-KNJ74BA,08-BF-B8-36-6C-2A,ASUSTek COMPUTER INC.,,On,,,,,14
192.168.0.215,,30-9C-23-AA-BE-EE,"Micro-Star INTL CO., LTD.",,On,,,,,15
192.168.0.222,,BA-15-B8-47-1C-CB,,,On,,,,,16
192.168.0.223,,08-BF-B8-36-6B-67,ASUSTek COMPUTER INC.,,On,,,,,17
192.168.0.230,,08-BF-B8-36-6E-6E,ASUSTek COMPUTER INC.,,On,,,,,19
192.168.0.231,,30-9C-23-AA-BF-CF,"Micro-Star INTL CO., LTD.",,On,,,,,20
192.168.0.233,,08-BF-B8-BC-18-1B,ASUSTek COMPUTER INC.,,On,,,,,21
192.168.0.235,,08-BF-B8-A2-2B-19,ASUSTek COMPUTER INC.,,On,,,,,22
192.168.0.236,,C0-C1-C0-0D-68-62,"Cisco-Linksys, LLC",,On,,,,,23
192.168.0.238,,00-17-61-11-57-D8,Private,,On,,,,,24
192.168.0.240,,30-9C-23-AA-BF-D5,"Micro-Star INTL CO., LTD.",,On,,,,,25
192.168.0.242,DESKTOP-BVTFJBO,08-BF-B8-A3-8B-87,ASUSTek COMPUTER INC.,,On,,,,,26
192.168.0.243,DESKTOP-IHLLLEQ,08-BF-B8-BC-18-1F,ASUSTek COMPUTER INC.,,On,,,,,27
