IP Address,Computer Name,MAC Address,Network Adapter Company,User Text,Status,Workgroup,Broadcast Address,Port Number,Multiple Packets,Index
192.168.0.1,,1C-3B-F3-11-64-D7,"TP-LINK TECHNOLOGIES CO.,LTD.",,On,,,,,16
192.168.0.100,DESKTOP-PSDC2AJ,30-9C-23-49-F8-3A,"Micro-Star INTL CO., LTD.",,On,,,,,39
192.168.0.101,,08-BF-B8-BE-76-66,ASUSTek COMPUTER INC.,,On,,,,,2
192.168.0.102,,08-BF-B8-36-6C-21,ASUSTek COMPUTER INC.,,On,,,,,40
192.168.0.104,,08-BF-B8-36-6E-6E,ASUSTek COMPUTER INC.,,On,,,,,73
192.168.0.105,,08-BF-B8-36-6E-D7,ASUSTek COMPUTER INC.,,On,,,,,41
192.168.0.106,DESKTOP-66HNF6P,08-BF-B8-36-70-4F,ASUSTek COMPUTER INC.,,On,,,,,35
192.168.0.107,,08-BF-B8-36-6B-32,ASUSTek COMPUTER INC.,,On,,,,,74
192.168.0.108,,08-BF-B8-36-6C-04,ASUSTek COMPUTER INC.,,On,,,,,7
192.168.0.109,DESKTOP-KNJ74BA,08-BF-B8-36-6C-2A,ASUSTek COMPUTER INC.,,On,,,,,12
192.168.0.110,DESKTOP-73NPRUC,08-BF-B8-36-6B-67,ASUSTek COMPUTER INC.,,On,,,,,15
192.168.0.112,,08-BF-B8-6E-20-29,ASUSTek COMPUTER INC.,,On,,,,,8
192.168.0.113,,08-BF-B8-36-6B-4A,ASUSTek COMPUTER INC.,,On,,,,,75
192.168.0.113,,30-9C-23-AA-BF-E9,"Micro-Star INTL CO., LTD.",,Unknown,,,,,26
192.168.0.114,,30-9C-23-D4-B9-D2,"Micro-Star INTL CO., LTD.",,On,,,,,76
192.168.0.115,,08-BF-B8-A3-8B-87,ASUSTek COMPUTER INC.,,On,,,,,77
192.168.0.116,,08-BF-B8-A3-8A-3C,ASUSTek COMPUTER INC.,,On,,,,,78
192.168.0.118,,08-BF-B8-A3-8B-32,ASUSTek COMPUTER INC.,,On,,,,,42
192.168.0.120,,08-BF-B8-A2-2B-5F,ASUSTek COMPUTER INC.,,On,,,,,79
192.168.0.121,,08-BF-B8-A2-2B-19,ASUSTek COMPUTER INC.,,On,,,,,19
192.168.0.122,,08-BF-B8-6E-1F-F0,ASUSTek COMPUTER INC.,,On,,,,,80
192.168.0.123,,30-9C-23-0C-68-CD,"Micro-Star INTL CO., LTD.",,On,,,,,46
192.168.0.124,,08-BF-B8-6E-20-45,ASUSTek COMPUTER INC.,,On,,,,,81
192.168.0.125,,08-BF-B8-6E-20-F3,ASUSTek COMPUTER INC.,,On,,,,,48
192.168.0.126,,08-BF-B8-6E-20-4B,ASUSTek COMPUTER INC.,,On,,,,,49
192.168.0.127,,08-BF-B8-6E-1F-F5,ASUSTek COMPUTER INC.,,On,,,,,43
192.168.0.129,,04-7C-16-BD-C2-CF,"Micro-Star INTL CO., LTD.",,On,,,,,82
192.168.0.130,,04-7C-16-BD-C3-2F,"Micro-Star INTL CO., LTD.",,On,,,,,83
192.168.0.131,,04-7C-16-BD-C2-9C,"Micro-Star INTL CO., LTD.",,On,,,,,84
192.168.0.132,,04-7C-16-BD-C2-94,"Micro-Star INTL CO., LTD.",,On,,,,,85
192.168.0.134,,08-BF-B8-A3-8A-CD,ASUSTek COMPUTER INC.,,On,,,,,25
192.168.0.135,,08-BF-B8-BE-76-FC,ASUSTek COMPUTER INC.,,On,,,,,44
192.168.0.136,DESKTOP-G29IPIP,08-BF-B8-BE-77-0D,ASUSTek COMPUTER INC.,,On,,,,,31
192.168.0.137,,08-BF-B8-A3-8B-95,ASUSTek COMPUTER INC.,,On,,,,,24
192.168.0.139,,08-BF-B8-BE-76-3A,ASUSTek COMPUTER INC.,,On,,,,,45
192.168.0.143,,30-9C-23-AA-BF-FA,"Micro-Star INTL CO., LTD.",,On,,,,,47
192.168.0.144,DESKTOP-Q5EDQRQ,04-7C-16-BD-C2-AD,"Micro-Star INTL CO., LTD.",,On,,,,,34
192.168.0.146,DESKTOP-8O0J1KO,30-9C-23-AA-C1-05,"Micro-Star INTL CO., LTD.",,On,,,,,32
192.168.0.147,,30-9C-23-AA-BF-75,"Micro-Star INTL CO., LTD.",,On,,,,,50
192.168.0.148,,28-EE-52-05-9B-A8,"TP-LINK TECHNOLOGIES CO.,LTD.",,On,,,,,51
192.168.0.149,,08-BF-B8-BE-73-EB,ASUSTek COMPUTER INC.,,On,,,,,52
192.168.0.150,RNP0026738C52C6,4C-CC-6A-31-30-6B,"Micro-Star INTL CO., LTD.",,Unknown,,,,,27
192.168.0.150,RNP0026738C52C6,00-26-73-8C-52-C6,"RICOH COMPANY,LTD.",,On,,,,,5
192.168.0.151,RNP00267373815D,00-26-73-73-81-5D,"RICOH COMPANY,LTD.",,On,,,,,6
192.168.0.152,,30-9C-23-D4-B9-E1,"Micro-Star INTL CO., LTD.",,On,,,,,28
192.168.0.153,,08-BF-B8-A3-89-FB,ASUSTek COMPUTER INC.,,On,,,,,53
192.168.0.154,,30-9C-23-84-A0-FC,"Micro-Star INTL CO., LTD.",,On,,,,,30
192.168.0.155,,70-4F-57-A2-95-87,"TP-LINK TECHNOLOGIES CO.,LTD.",,On,,,,,36
192.168.0.156,DESKTOP-ANR3G7H,08-BF-B8-BC-1A-00,ASUSTek COMPUTER INC.,,On,,,,,54
192.168.0.157,,30-9C-23-09-06-4C,"Micro-Star INTL CO., LTD.",,On,,,,,37
192.168.0.158,,04-7C-16-BD-C2-BC,"Micro-Star INTL CO., LTD.",,On,,,,,55
192.168.0.159,DESKTOP-TLBJ6PS,4C-ED-FB-C0-9E-DF,ASUSTek COMPUTER INC.,,On,,,,,33
192.168.0.160,DESKTOP-FUTFPK8,30-9C-23-AA-BF-F3,"Micro-Star INTL CO., LTD.",,On,,,,,56
192.168.0.161,,30-9C-23-84-A0-FB,"Micro-Star INTL CO., LTD.",,On,,,,,29
192.168.0.163,,30-9C-23-AA-C0-56,"Micro-Star INTL CO., LTD.",,On,,,,,38
192.168.0.164,BRN30055C8C0097,30-05-5C-8C-00-97,"Brother industries, LTD.",,On,,,,,3
192.168.0.165,DESKTOP-AK7IC73,60-CF-84-62-CD-7E,ASUSTek COMPUTER INC.,,On,,,,,57
192.168.0.167,,60-CF-84-62-CD-7F,ASUSTek COMPUTER INC.,,On,,,,,58
192.168.0.168,DESKTOP-LDFQ20Q,30-9C-23-AA-C1-09,"Micro-Star INTL CO., LTD.",,On,,,,,72
192.168.0.169,,70-4F-57-A2-A5-F9,"TP-LINK TECHNOLOGIES CO.,LTD.",,On,,,,,1
192.168.0.170,,30-9C-23-AA-C1-13,"Micro-Star INTL CO., LTD.",,On,,,,,59
