"Host","Status","ActiveUser","AdminBridgeInstalled","GuiAgentInstalled","ChromeResetAvailable","EntregaScriptAvailable"
"192.168.0.101","OK","","False","True","False","False"
"192.168.0.102","OK","","False","True","False","False"
"192.168.0.104","OK","","False","True","False","False"
"192.168.0.105","OK","","False","True","False","False"
"192.168.0.106","OK","","False","True","False","False"
"192.168.0.107","OK","","False","True","False","False"
"192.168.0.108","OK","","False","True","False","False"
"192.168.0.109","OK","","False","True","False","False"
"192.168.0.110","OK","","False","True","False","False"
"192.168.0.112","OK","","False","True","False","False"
"192.168.0.113","OK","","False","True","False","False"
"192.168.0.115","OK","","False","True","False","False"
"192.168.0.116","OK","","False","True","False","False"
"192.168.0.118","OK","","False","True","False","False"
"192.168.0.120","OK","","False","True","False","False"
"192.168.0.121","OK","","False","True","False","False"
"192.168.0.122","OK","","False","True","False","False"
"192.168.0.123","OK","","False","True","False","False"
"192.168.0.124","OK","","False","True","False","False"
"192.168.0.125","OK","","False","True","False","False"
"192.168.0.126","OK","","False","True","False","False"
"192.168.0.127","OK","","False","True","False","False"
"192.168.0.128","OK","","False","True","False","False"
"192.168.0.129","OK","","False","True","False","False"
"192.168.0.130","OK","","False","True","False","False"
"192.168.0.131","OK","","False","True","False","False"
"192.168.0.132","OK","","False","True","False","False"
"192.168.0.134","OK","","False","True","False","False"
"192.168.0.135","OK","","False","True","False","False"
"192.168.0.136","OK","","False","True","False","False"
"192.168.0.137","OK","","False","True","False","False"
"192.168.0.138","OK","","False","True","False","False"
"192.168.0.139","OK","","False","True","False","False"
"192.168.0.140","OK","","False","True","False","False"
"192.168.0.141","OK","","False","True","False","False"
"192.168.0.149","OK","","False","True","False","False"
"192.168.0.201","OK","","False","True","False","False"
"192.168.0.210","OK","","False","True","False","False"
"192.168.0.248","NO_5985","","False","False","False","False"
