"Host","Status","Detail"
"192.168.0.101","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.102","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.104","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.105","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.106","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.107","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.108","CLEANED","cmd=1; queue=0; processing=0; processed=0"
"192.168.0.109","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.110","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.112","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.113","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.115","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.116","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.118","CLEANED","cmd=1; queue=0; processing=0; processed=0"
"192.168.0.120","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.121","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.122","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.123","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.124","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.125","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.126","CLEANED","cmd=1; queue=0; processing=0; processed=0"
"192.168.0.127","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.128","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.129","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.130","CLEANED","cmd=1; queue=0; processing=0; processed=0"
"192.168.0.131","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.132","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.134","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.135","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.136","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.137","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.138","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.139","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.140","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.141","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.149","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.201","CLEANED","cmd=0; queue=0; processing=0; processed=0"
"192.168.0.210","CLEANED","cmd=1; queue=0; processing=0; processed=0"
"192.168.0.248","NO_5985","WinRM cerrado"
