CASTEL,MAC,IP_Reservada,IP_Actual,Estado
CASTEL-01,08-BF-B8-BE-76-66,192.168.0.101,192.168.0.101,OK
CASTEL-02,08-BF-B8-36-6C-21,192.168.0.102,192.168.0.102,OK
CASTEL-04,08-BF-B8-36-6E-6E,192.168.0.104,192.168.0.104,OK
CASTEL-05,08-BF-B8-36-6E-D7,192.168.0.105,192.168.0.105,OK
CASTEL-06,08-BF-B8-36-70-4F,192.168.0.106,192.168.0.106,OK
CASTEL-07,08-BF-B8-36-6B-32,192.168.0.107,192.168.0.107,OK
CASTEL-08,08-BF-B8-36-6C-04,192.168.0.108,192.168.0.108,OK
CASTEL-09,08-BF-B8-36-6C-2A,192.168.0.109,192.168.0.109,OK
CASTEL-10,08-BF-B8-36-6B-67,192.168.0.110,192.168.0.110,OK
CASTEL-12,08-BF-B8-6E-20-29,192.168.0.112,192.168.0.112,OK
CASTEL-13,08-BF-B8-36-6B-4A,192.168.0.113,192.168.0.113,OK
CASTEL-14,30-9C-23-D4-B9-D2,192.168.0.114,192.168.0.114,OK
CASTEL-15,08-BF-B8-A3-8B-87,192.168.0.115,192.168.0.115,OK
CASTEL-16,08-BF-B8-A3-8A-3C,192.168.0.116,192.168.0.116,OK
CASTEL-18,08-BF-B8-A3-8B-32,192.168.0.118,192.168.0.118,OK
CASTEL-20,08-BF-B8-A2-2B-5F,192.168.0.120,192.168.0.120,OK
CASTEL-21,08-BF-B8-A2-2B-19,192.168.0.121,192.168.0.121,OK
CASTEL-22,08-BF-B8-6E-1F-F0,192.168.0.122,192.168.0.122,OK
CASTEL-23,30-9C-23-0C-68-CD,192.168.0.123,192.168.0.123,OK
CASTEL-24,08-BF-B8-6E-20-45,192.168.0.124,192.168.0.124,OK
CASTEL-25,08-BF-B8-6E-20-F3,192.168.0.125,192.168.0.125,OK
CASTEL-26,08-BF-B8-6E-20-4B,192.168.0.126,192.168.0.126,OK
CASTEL-27,08-BF-B8-6E-1F-F5,192.168.0.127,192.168.0.127,OK
CASTEL-28,04-7C-16-BD-C2-C6,192.168.0.128,192.168.0.128,OK
CASTEL-29,04-7C-16-BD-C2-CF,192.168.0.129,192.168.0.129,OK
CASTEL-30,04-7C-16-BD-C3-2F,192.168.0.130,192.168.0.130,OK
CASTEL-31,04-7C-16-BD-C2-9C,192.168.0.131,192.168.0.131,OK
CASTEL-32,04-7C-16-BD-C2-94,192.168.0.132,192.168.0.132,OK
CASTEL-34,08-BF-B8-A3-8A-CD,192.168.0.134,192.168.0.134,OK
CASTEL-35,08-BF-B8-BE-76-FC,192.168.0.135,192.168.0.135,OK
CASTEL-36,08-BF-B8-BE-77-0D,192.168.0.136,192.168.0.136,OK
CASTEL-37,08-BF-B8-A3-8B-95,192.168.0.137,192.168.0.137,OK
CASTEL-39,08-BF-B8-BE-76-3A,192.168.0.139,192.168.0.139,OK
CASTEL-03,08-BF-B8-36-6F-B6,192.168.0.103,192.168.0.201,DESALINEADO
CASTEL-11,08-BF-B8-36-6B-5A,192.168.0.111,192.168.0.219,DESALINEADO
CASTEL-19,08-BF-B8-A3-89-FB,192.168.0.119,192.168.0.153,DESALINEADO
CASTEL-38,04-7C-16-BD-C2-AD,192.168.0.138,192.168.0.144,DESALINEADO
CASTEL-40,30-9C-23-09-06-4C,192.168.0.140,192.168.0.157,DESALINEADO
CASTEL-41,30-9C-23-AA-BF-D8,192.168.0.141,192.168.0.246,DESALINEADO
CASTEL-17,08-BF-B8-A3-8B-7E,192.168.0.117,,NO_VISTO
CASTEL-33,04-7C-16-BD-C2-E4,192.168.0.133,,NO_VISTO
