"Host","Status","User","Detail","PSComputerName","RunspaceId","PSShowComputerName"
"192.168.0.101","OK","Colegio","Payload ejecutado","localhost","7599069c-d433-4818-9d87-7e8c0b36c7d0","False"
"192.168.0.102","OK","Colegio","Payload ejecutado","localhost","fbd9bcec-ac72-46a1-b114-8777d44f570d","False"
"192.168.0.103","NO_5985","","WinRM cerrado","localhost","8dd40712-ed2b-473b-91c2-22068fcb1b29","False"
"192.168.0.104","OK","Colegio","Payload ejecutado","localhost","ed076c46-52f5-4b5f-a231-7c26fa7def8e","False"
"192.168.0.105","OK","Colegio","Payload ejecutado","localhost","41462173-9cd6-413e-a1c3-966f9b7feb56","False"
"192.168.0.106","OK","Colegio","Payload ejecutado","localhost","e8bdc71e-d2f9-4bd2-9bcb-4d74bd072fe9","False"
"192.168.0.107","OK","Colegio","Payload ejecutado","localhost","f366f634-e741-4555-8208-5a4ab715aff5","False"
"192.168.0.108","OK","Colegio","Payload ejecutado","localhost","0971c8ca-2d1a-473a-bbb3-d7b66d48c809","False"
"192.168.0.109","OK","Colegio","Payload ejecutado","localhost","65bc852c-cc0e-4637-a5b4-873727c67b29","False"
"192.168.0.110","OK","Colegio","Payload ejecutado","localhost","e163d79d-1ca0-44a1-ba4a-64a8cd0911ba","False"
"192.168.0.111","NO_5985","","WinRM cerrado","localhost","b3435dda-efdc-4df8-9a2f-2d4fec0330b3","False"
"192.168.0.112","OK","Colegio","Payload ejecutado","localhost","6b19f210-12b9-4385-95b6-11a19b1efc6b","False"
"192.168.0.113","OK","Usuario","Payload ejecutado","localhost","d7f8836b-f119-4b28-b6f0-a15c6f4e8c44","False"
"192.168.0.114","OK","Admin","Payload ejecutado","localhost","1007a9f1-7314-4728-af60-8d9e9c19cb63","False"
"192.168.0.115","OK","Admin","Payload ejecutado","localhost","0ea0bade-b0f2-4ba3-8ece-981918988a0f","False"
"192.168.0.116","OK","Admin","Payload ejecutado","localhost","dbe1badc-6610-4ce5-bd80-83c5ae949daa","False"
"192.168.0.117","NO_5985","","WinRM cerrado","localhost","b99107d7-30c3-487c-8d83-2c8f677f5ff5","False"
"192.168.0.118","OK","Admin","Payload ejecutado","localhost","a6237d78-d846-446f-851b-7852983e4bd5","False"
"192.168.0.119","NO_5985","","WinRM cerrado","localhost","02250d75-aed2-45ad-87e6-05340d7be71e","False"
"192.168.0.120","OK","Admin","Payload ejecutado","localhost","0800baa4-3869-4373-8f67-8fa57a3c01de","False"
"192.168.0.121","OK","Admin","Payload ejecutado","localhost","0c028c12-69a2-48ec-847b-9160c70e3ce5","False"
"192.168.0.122","OK","Usuario","Payload ejecutado","localhost","ad1e64b1-2fbe-448c-ad26-4ec38dcd8fcc","False"
"192.168.0.123","OK","Profesor","Payload ejecutado","localhost","1576f252-ad1a-499d-a0ee-4527f228f025","False"
"192.168.0.124","OK","Admin","Payload ejecutado","localhost","c51482ce-61c7-40fe-938c-5b9fbc701e1d","False"
"192.168.0.125","OK","Admin","Payload ejecutado","localhost","0fe18b3f-1feb-43c2-a37d-e8ca1d0bd39b","False"
"192.168.0.126","OK","Colegio","Payload ejecutado","localhost","410189e1-69b0-4159-a0a8-0cc0157b4047","False"
"192.168.0.127","OK","Colegio","Payload ejecutado","localhost","6d8ab6f1-f47c-474b-b920-6c0a67ef3897","False"
"192.168.0.128","OK","Admin","Payload ejecutado","localhost","0a81a579-a127-4f75-a378-1d07fe11c3b0","False"
"192.168.0.129","OK","Admin","Payload ejecutado","localhost","12abfb89-1947-4ef6-bf36-6b2793bba79f","False"
"192.168.0.130","OK","Admin","Payload ejecutado","localhost","4907b5a3-f331-4c82-8041-2625e1092325","False"
"192.168.0.131","OK","Colegio","Payload ejecutado","localhost","a5dd6a94-2345-4dc2-bc23-4494a352f8e6","False"
"192.168.0.132","OK","Colegio","Payload ejecutado","localhost","7af357ef-3428-4741-aa68-c5f4cb9899f1","False"
"192.168.0.133","NO_5985","","WinRM cerrado","localhost","f62db433-5c20-482d-b46e-b49455b8c705","False"
"192.168.0.134","OK","Admin","Payload ejecutado","localhost","5b2471f4-ac15-4a67-87a6-61de23d42b1e","False"
"192.168.0.135","OK","Admin","Payload ejecutado","localhost","358a32b4-229a-458c-af2e-fec3f6c4d192","False"
"192.168.0.136","OK","Admin","Payload ejecutado","localhost","a9d86130-1de2-418e-84da-976662d0e40f","False"
"192.168.0.137","OK","Admin","Payload ejecutado","localhost","b2b989f4-b126-4fc8-beef-85d3bf7e17ff","False"
"192.168.0.138","NO_5985","","WinRM cerrado","localhost","5a725860-477d-41ac-be77-b756745ebfce","False"
"192.168.0.139","OK","Admin","Payload ejecutado","localhost","410c3ba1-349c-4004-ac12-2df98e62bab4","False"
