"Host","Status","User","Detail","PSComputerName","RunspaceId","PSShowComputerName"
"192.168.0.101","OK","Colegio","Aplicado y confirmado","localhost","01b887f5-fd38-4837-b65c-b888af97a601","False"
"192.168.0.102","OK","Colegio","Aplicado y confirmado","localhost","ccf36f12-5385-42d8-8370-367984912ba7","False"
"192.168.0.103","NO_5985","","WinRM cerrado","localhost","f1bec758-54b2-4e39-b4a8-efee49d61245","False"
"192.168.0.104","OK","Colegio","Aplicado y confirmado","localhost","74bff53a-030e-42be-b87f-ec39fdb8fddc","False"
"192.168.0.105","OK","Colegio","Aplicado y confirmado","localhost","5be2006f-21ab-405c-88d8-dde8a79fef55","False"
"192.168.0.106","OK","Colegio","Aplicado y confirmado","localhost","b58b2125-aaf9-4086-b5e6-09dbf8ca304f","False"
"192.168.0.107","OK","Colegio","Aplicado y confirmado","localhost","ee84ad10-7a29-4c67-a9af-fe00002e4ea1","False"
"192.168.0.108","OK","Colegio","Aplicado y confirmado","localhost","47860c38-e414-4f2f-b2b5-d9fec110eab0","False"
"192.168.0.109","OK","Colegio","Aplicado y confirmado","localhost","751568df-bc54-4630-9c84-d1bb7fe4de96","False"
"192.168.0.110","OK","Colegio","Aplicado y confirmado","localhost","474c47e5-12a4-4e3e-86d1-7dc2df560f13","False"
"192.168.0.111","NO_5985","","WinRM cerrado","localhost","6dabb75d-b3a5-4dc2-85fe-1c7a82c2597b","False"
"192.168.0.112","OK","Colegio","Aplicado y confirmado","localhost","947ad46b-e7a3-481c-a533-35d3b324825c","False"
"192.168.0.113","OK","Usuario","Aplicado y confirmado","localhost","fd9dfc3b-f2d8-497c-8190-5c833dfea648","False"
"192.168.0.114","OK","Admin","Aplicado y confirmado","localhost","a661a78a-27fb-492a-b986-3ef41736b155","False"
"192.168.0.115","OK","Admin","Aplicado y confirmado","localhost","e759039e-e4bb-4e01-bbe8-4a97249434ac","False"
"192.168.0.116","OK","Admin","Aplicado y confirmado","localhost","b2ef7365-5322-4b27-9f28-c3d11aa96aee","False"
"192.168.0.117","NO_5985","","WinRM cerrado","localhost","bf12d541-840d-4695-a0c2-45f77d61b522","False"
"192.168.0.118","OK","Admin","Aplicado y confirmado","localhost","5bcc116b-d822-469a-b003-abf03012d559","False"
"192.168.0.119","NO_5985","","WinRM cerrado","localhost","73fc4759-d27f-4e1f-98ed-e09ced897645","False"
"192.168.0.120","OK","Admin","Aplicado y confirmado","localhost","77fc984a-8e49-4b70-a6df-c4a4cfe01223","False"
"192.168.0.121","OK","Admin","Aplicado y confirmado","localhost","7e1b0c3a-9723-4ccc-adce-3210e6fcbe17","False"
"192.168.0.122","OK","Usuario","Aplicado y confirmado","localhost","86c6d68d-2e48-41ac-a2d7-9471299d498a","False"
"192.168.0.123","OK","Profesor","Aplicado y confirmado","localhost","c7adea6b-4167-4e02-8589-0d891b1bf9cb","False"
"192.168.0.124","OK","Admin","Aplicado y confirmado","localhost","334716c9-e59b-4e37-9c47-e6f61d433391","False"
"192.168.0.125","OK","Admin","Aplicado y confirmado","localhost","7b110773-1f73-458d-a7ee-e3108f4b3863","False"
"192.168.0.126","OK","Colegio","Aplicado y confirmado","localhost","2e800db0-b5ac-4b15-9343-689d0a1de451","False"
"192.168.0.127","OK","Colegio","Aplicado y confirmado","localhost","83ecd2a1-cf02-4bd8-9fdd-5138dc664031","False"
"192.168.0.128","OK","Admin","Aplicado y confirmado","localhost","11e07929-c6b9-4aab-8a46-75f9aca17d0b","False"
"192.168.0.129","OK","Admin","Aplicado y confirmado","localhost","5a33f4c0-43f9-45e1-8945-4503dc98d28f","False"
"192.168.0.130","OK","Admin","Aplicado y confirmado","localhost","794723ca-f827-41a4-9274-f35464cad045","False"
"192.168.0.131","OK","Colegio","Aplicado y confirmado","localhost","e13418e3-7551-467b-b8d1-0d873d8e6e41","False"
"192.168.0.132","OK","Colegio","Aplicado y confirmado","localhost","dc99a847-cec5-41d2-99cd-f47980dd9ab2","False"
"192.168.0.133","NO_5985","","WinRM cerrado","localhost","f5a3168c-2e85-4fa7-bde0-2411ba6c6c16","False"
"192.168.0.134","OK","Admin","Aplicado y confirmado","localhost","82b24827-9c89-43ab-b6ca-fe4afb50095e","False"
"192.168.0.135","OK","Admin","Aplicado y confirmado","localhost","3ad48d4e-1cd7-4821-80c8-1e8caca2a496","False"
"192.168.0.136","OK","Admin","Aplicado y confirmado","localhost","df59a973-8deb-41f8-9530-db8b1b88b6e9","False"
"192.168.0.137","OK","Admin","Aplicado y confirmado","localhost","e61c2867-5c52-4c91-aa0a-f1b41ae1dcb8","False"
"192.168.0.138","NO_5985","","WinRM cerrado","localhost","bdaeb48c-7545-405c-99ce-acd9cbd43cc4","False"
"192.168.0.139","OK","Admin","Aplicado y confirmado","localhost","5fbbf23a-9461-4156-80f6-7e4568143c5e","False"
