Computer,Name,MAC,Subnet,WakeStatus,WinRM5985,Veyon11100
192.168.0.1,,1C-3B-F3-11-64-D7,192.168.0.x,Unknown,NO,NO
192.168.0.100,DESKTOP-PSDC2AJ,30-9C-23-49-F8-3A,192.168.0.x,Unknown,NO,NO
192.168.0.101,DESKTOP-I9T3046,08-BF-B8-BE-76-66,192.168.0.x,Unknown,OK,OK
192.168.0.102,DESKTOP-E6SPEH2,08-BF-B8-36-6C-21,192.168.0.x,Unknown,OK,OK
192.168.0.104,DESKTOP-6GQ51JK,08-BF-B8-36-6E-6E,192.168.0.x,Unknown,OK,OK
192.168.0.105,DESKTOP-2IML0BD,08-BF-B8-36-6E-D7,192.168.0.x,Unknown,OK,OK
192.168.0.106,DESKTOP-66HNF6P,08-BF-B8-36-70-4F,192.168.0.x,Unknown,OK,OK
192.168.0.107,DESKTOP-DCR1C3S,08-BF-B8-36-6B-32,192.168.0.x,Unknown,OK,OK
192.168.0.108,DESKTOP-3QVL65G,08-BF-B8-36-6C-04,192.168.0.x,Unknown,OK,OK
192.168.0.109,DESKTOP-KNJ74BA,08-BF-B8-36-6C-2A,192.168.0.x,Unknown,OK,OK
192.168.0.110,DESKTOP-73NPRUC,08-BF-B8-36-6B-67,192.168.0.x,Unknown,OK,OK
192.168.0.112,DESKTOP-G701L9H,08-BF-B8-6E-20-29,192.168.0.x,Unknown,OK,OK
192.168.0.113,DESKTOP-NVET6HS,08-BF-B8-36-6B-4A,192.168.0.x,Unknown,OK,OK
192.168.0.114,DESKTOP-H9S20CM,30-9C-23-D4-B9-D2,192.168.0.x,Unknown,OK,OK
192.168.0.115,DESKTOP-BVTFJBO,08-BF-B8-A3-8B-87,192.168.0.x,Unknown,OK,OK
192.168.0.116,DESKTOP-7E5P01D,08-BF-B8-A3-8A-3C,192.168.0.x,Unknown,OK,OK
192.168.0.118,DESKTOP-MBF9SFV,08-BF-B8-A3-8B-32,192.168.0.x,Unknown,OK,OK
192.168.0.120,DESKTOP-LA7EBS8,08-BF-B8-A2-2B-5F,192.168.0.x,Unknown,OK,OK
192.168.0.121,DESKTOP-2TILHL0,08-BF-B8-A2-2B-19,192.168.0.x,Unknown,OK,OK
192.168.0.122,DESKTOP-25PN4F9,08-BF-B8-6E-1F-F0,192.168.0.x,Unknown,OK,OK
192.168.0.123,DESKTOP-VI1QNL1,30-9C-23-0C-68-CD,192.168.0.x,Unknown,OK,OK
192.168.0.124,DESKTOP-R64IKJE,08-BF-B8-6E-20-45,192.168.0.x,Unknown,OK,OK
192.168.0.125,DESKTOP-OLV31AA,08-BF-B8-6E-20-F3,192.168.0.x,Unknown,OK,OK
192.168.0.126,DESKTOP-LAO49MJ,08-BF-B8-6E-20-4B,192.168.0.x,Unknown,OK,OK
192.168.0.127,DESKTOP-3SN2POI,08-BF-B8-6E-1F-F5,192.168.0.x,Unknown,OK,OK
192.168.0.128,DESKTOP-2Q8VV2M,04-7C-16-BD-C2-C6,192.168.0.x,Unknown,OK,OK
192.168.0.129,DESKTOP-MIMVNEB,04-7C-16-BD-C2-CF,192.168.0.x,Unknown,OK,OK
192.168.0.130,DESKTOP-GPM0VQR,04-7C-16-BD-C3-2F,192.168.0.x,Unknown,OK,OK
192.168.0.131,DESKTOP-SOG0JGU,04-7C-16-BD-C2-9C,192.168.0.x,Unknown,OK,OK
192.168.0.132,DESKTOP-DO7VDTD,04-7C-16-BD-C2-94,192.168.0.x,Unknown,OK,OK
192.168.0.134,DESKTOP-DV24P1L,08-BF-B8-A3-8A-CD,192.168.0.x,Unknown,OK,OK
192.168.0.135,DESKTOP-VTR4H1N,08-BF-B8-BE-76-FC,192.168.0.x,Unknown,OK,OK
192.168.0.136,DESKTOP-G29IPIP,08-BF-B8-BE-77-0D,192.168.0.x,Unknown,OK,OK
192.168.0.137,DESKTOP-KSK03OQ,08-BF-B8-A3-8B-95,192.168.0.x,Unknown,OK,OK
192.168.0.139,DESKTOP-CSR95DJ,08-BF-B8-BE-76-3A,192.168.0.x,Unknown,OK,OK
192.168.0.143,,30-9C-23-AA-BF-FA,192.168.0.x,Unknown,NO,NO
192.168.0.144,DESKTOP-Q5EDQRQ,04-7C-16-BD-C2-AD,192.168.0.x,Unknown,OK,OK
192.168.0.146,DESKTOP-8O0J1KO,30-9C-23-AA-C1-05,192.168.0.x,Unknown,NO,NO
192.168.0.147,,30-9C-23-AA-BF-75,192.168.0.x,Unknown,NO,NO
192.168.0.148,,28-EE-52-05-9B-A8,192.168.0.x,Unknown,NO,NO
192.168.0.149,,08-BF-B8-BE-73-EB,192.168.0.x,Unknown,NO,NO
192.168.0.150,DESKTOP-HQOEG7Q,4C-CC-6A-31-30-6B,192.168.0.x,Unknown,NO,NO
192.168.0.151,RNP00267373815D,00-26-73-73-81-5D,192.168.0.x,Unknown,NO,NO
192.168.0.152,,30-9C-23-D4-B9-E1,192.168.0.x,Unknown,NO,NO
192.168.0.153,DESKTOP-D1ATC1H,08-BF-B8-A3-89-FB,192.168.0.x,Unknown,OK,OK
192.168.0.154,,30-9C-23-84-A0-FC,192.168.0.x,Unknown,NO,NO
192.168.0.155,,70-4F-57-A2-95-87,192.168.0.x,Unknown,NO,NO
192.168.0.156,DESKTOP-ANR3G7H,08-BF-B8-BC-1A-00,192.168.0.x,Unknown,NO,NO
192.168.0.157,Usuario-PC,30-9C-23-09-06-4C,192.168.0.x,Unknown,OK,OK
192.168.0.158,,04-7C-16-BD-C2-BC,192.168.0.x,Unknown,NO,NO
192.168.0.159,DESKTOP-TLBJ6PS,4C-ED-FB-C0-9E-DF,192.168.0.x,Unknown,NO,NO
192.168.0.160,DESKTOP-FUTFPK8,30-9C-23-AA-BF-F3,192.168.0.x,Unknown,NO,NO
