"Host","Status","User","Detail"
"192.168.0.101","OK","192.168.0.101\Colegio","Tarea diaria 17:30 creada"
"192.168.0.102","OK","192.168.0.102\Colegio","Tarea diaria 17:30 creada"
"192.168.0.103","NO_5985","","WinRM cerrado"
"192.168.0.104","OK","192.168.0.104\Colegio","Tarea diaria 17:30 creada"
"192.168.0.105","OK","192.168.0.105\Colegio","Tarea diaria 17:30 creada"
"192.168.0.106","OK","192.168.0.106\Colegio","Tarea diaria 17:30 creada"
"192.168.0.107","OK","192.168.0.107\Colegio","Tarea diaria 17:30 creada"
"192.168.0.108","OK","192.168.0.108\Colegio","Tarea diaria 17:30 creada"
"192.168.0.109","OK","192.168.0.109\Colegio","Tarea diaria 17:30 creada"
"192.168.0.110","OK","192.168.0.110\Colegio","Tarea diaria 17:30 creada"
"192.168.0.111","NO_5985","","WinRM cerrado"
"192.168.0.112","OK","192.168.0.112\Colegio","Tarea diaria 17:30 creada"
"192.168.0.113","OK","192.168.0.113\Usuario","Tarea diaria 17:30 creada"
"192.168.0.114","OK","192.168.0.114\Admin","Tarea diaria 17:30 creada"
"192.168.0.115","OK","192.168.0.115\Admin","Tarea diaria 17:30 creada"
"192.168.0.116","OK","192.168.0.116\Admin","Tarea diaria 17:30 creada"
"192.168.0.117","NO_5985","","WinRM cerrado"
"192.168.0.118","OK","192.168.0.118\Admin","Tarea diaria 17:30 creada"
"192.168.0.119","NO_5985","","WinRM cerrado"
"192.168.0.120","OK","192.168.0.120\Admin","Tarea diaria 17:30 creada"
"192.168.0.121","OK","192.168.0.121\Admin","Tarea diaria 17:30 creada"
"192.168.0.122","OK","192.168.0.122\Usuario","Tarea diaria 17:30 creada"
"192.168.0.123","OK","192.168.0.123\Profesor","Tarea diaria 17:30 creada"
"192.168.0.124","OK","192.168.0.124\Admin","Tarea diaria 17:30 creada"
"192.168.0.125","OK","192.168.0.125\Admin","Tarea diaria 17:30 creada"
"192.168.0.126","OK","192.168.0.126\Colegio","Tarea diaria 17:30 creada"
"192.168.0.127","OK","192.168.0.127\Colegio","Tarea diaria 17:30 creada"
"192.168.0.128","OK","192.168.0.128\Admin","Tarea diaria 17:30 creada"
"192.168.0.129","OK","192.168.0.129\Admin","Tarea diaria 17:30 creada"
"192.168.0.130","OK","192.168.0.130\Admin","Tarea diaria 17:30 creada"
"192.168.0.131","OK","192.168.0.131\Colegio","Tarea diaria 17:30 creada"
"192.168.0.132","OK","192.168.0.132\Colegio","Tarea diaria 17:30 creada"
"192.168.0.133","NO_5985","","WinRM cerrado"
"192.168.0.134","OK","192.168.0.134\Admin","Tarea diaria 17:30 creada"
"192.168.0.135","OK","192.168.0.135\Admin","Tarea diaria 17:30 creada"
"192.168.0.136","OK","192.168.0.136\Admin","Tarea diaria 17:30 creada"
"192.168.0.137","OK","192.168.0.137\Admin","Tarea diaria 17:30 creada"
"192.168.0.138","NO_5985","","WinRM cerrado"
"192.168.0.139","OK","192.168.0.139\Admin","Tarea diaria 17:30 creada"
