"Host","Status","Detail","User","PSComputerName","RunspaceId","PSShowComputerName"
"192.168.0.101","FAIL","Error de conexión al servidor remoto 192.168.0.101. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","ef6a9a3d-d145-4b57-b4bb-488092c771b2","False"
"192.168.0.102","FAIL","Error de conexión al servidor remoto 192.168.0.102. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","0711bfce-0aae-4248-9915-53f386d27cd1","False"
"192.168.0.103","NO_5985","Puerto 5985 cerrado","","localhost","7700d834-8394-40dd-bced-6e22b3be3d1e","False"
"192.168.0.104","FAIL","Error de conexión al servidor remoto 192.168.0.104. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","007ed059-91c4-4993-93a5-a12a37a7207f","False"
"192.168.0.105","FAIL","Error de conexión al servidor remoto 192.168.0.105. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","e8dda4aa-b2af-4588-a434-222b89ec77ad","False"
"192.168.0.106","FAIL","Error de conexión al servidor remoto 192.168.0.106. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","18ead51c-3921-4733-ad7e-87fffac11ba5","False"
"192.168.0.107","NO_5985","Puerto 5985 cerrado","","localhost","718c1445-810d-4276-b6ce-5e9347981901","False"
"192.168.0.108","NO_5985","Puerto 5985 cerrado","","localhost","698440a6-b0f4-48f4-84d9-8f23ab38400a","False"
"192.168.0.109","FAIL","Error de conexión al servidor remoto 192.168.0.109. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","3ae2fe49-95e8-4c0b-a20a-a110c46b6d44","False"
"192.168.0.110","NO_5985","Puerto 5985 cerrado","","localhost","6a45e9ed-4c34-4acd-a014-d0b787a840d7","False"
