"CASTEL","IP","MAC","Port11100","Port5985","AuthWinRM","User","Hostname","Whoami","OS","Error","DurationSec"
"CASTEL-01","192.168.0.101","08-BF-B8-BE-76-66","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.101. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,6"
"CASTEL-02","192.168.0.102","08-BF-B8-36-6C-21","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.102. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,06"
"CASTEL-03","192.168.0.202","08-BF-B8-36-6F-B6","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.202. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,06"
"CASTEL-04","192.168.0.104","08-BF-B8-36-6E-6E","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.104. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,07"
"CASTEL-05","192.168.0.105","08-BF-B8-36-6E-D7","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.105. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,06"
"CASTEL-06","192.168.0.106","08-BF-B8-36-70-4F","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.106. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,09"
"CASTEL-07","192.168.0.107","08-BF-B8-36-6B-32","OK","NO","NO","""'""","""'""","""'""","""'""","""'""","21,08"
"CASTEL-08","192.168.0.108","08-BF-B8-36-6C-04","OK","NO","NO","""'""","""'""","""'""","""'""","""'""","21,06"
"CASTEL-09","192.168.0.109","08-BF-B8-36-6C-2A","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.109. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,06"
"CASTEL-10","192.168.0.110","08-BF-B8-36-6B-67","OK","NO","NO","""'""","""'""","""'""","""'""","""'""","21,04"
"CASTEL-11","192.168.0.219","08-BF-B8-36-6B-5A","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.219. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,09"
"CASTEL-12","192.168.0.112","08-BF-B8-6E-20-29","OK","OK","NO","""'""","""'""","""'""","""'""","Error de conexión al servidor remoto 192.168.0.112. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,04"
"CASTEL-13","192.168.0.113","08-BF-B8-36-6B-4A","OK","OK","OK","Usuario","DESKTOP-NVET6HS","desktop-nvet6hs\usuario","Microsoft Windows 10 Pro","Error de conexión al servidor remoto 192.168.0.113. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","0,75"
"CASTEL-14","192.168.0.114","30-9C-23-D4-B9-D2","OK","OK","OK","Admin","DESKTOP-H9S20CM","desktop-h9s20cm\admin","Microsoft Windows 10 Pro","""'""","0,97"
"CASTEL-15","192.168.0.115","08-BF-B8-A3-8B-87","OK","OK","OK","Admin","DESKTOP-BVTFJBO","desktop-bvtfjbo\admin","Microsoft Windows 11 Pro","""'""","0,96"
"CASTEL-16","192.168.0.116","08-BF-B8-A3-8A-3C","OK","OK","OK","Admin","DESKTOP-7E5P01D","desktop-7e5p01d\admin","Microsoft Windows 10 Pro","""'""","0,94"
"CASTEL-18","192.168.0.118","08-BF-B8-A3-8B-32","OK","OK","OK","Admin","DESKTOP-MBF9SFV","desktop-mbf9sfv\admin","Microsoft Windows 10 Pro","""'""","0,97"
"CASTEL-19","192.168.0.153","08-BF-B8-A3-89-FB","OK","OK","OK","Admin","DESKTOP-D1ATC1H","desktop-d1atc1h\admin","Microsoft Windows 10 Pro","""'""","1,16"
"CASTEL-20","192.168.0.120","08-BF-B8-A2-2B-5F","OK","OK","OK","Admin","DESKTOP-LA7EBS8","desktop-la7ebs8\admin","Microsoft Windows 10 Pro","""'""","0,81"
"CASTEL-21","192.168.0.121","08-BF-B8-A2-2B-19","OK","OK","OK","Admin","DESKTOP-2TILHL0","desktop-2tilhl0\admin","Microsoft Windows 10 Pro","""'""","1,11"
"CASTEL-22","192.168.0.122","08-BF-B8-6E-1F-F0","OK","OK","OK","Usuario","DESKTOP-25PN4F9","desktop-25pn4f9\usuario","Microsoft Windows 11 Pro","Error de conexión al servidor remoto 192.168.0.122. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","1,14"
"CASTEL-23","192.168.0.123","30-9C-23-0C-68-CD","OK","OK","OK","Profesor","DESKTOP-VI1QNL1","desktop-vi1qnl1\profesor","Microsoft Windows 10 Pro","Error de conexión al servidor remoto 192.168.0.123. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","1,13"
"CASTEL-24","192.168.0.124","08-BF-B8-6E-20-45","OK","OK","OK","Admin","DESKTOP-R64IKJE","desktop-r64ikje\admin","Microsoft Windows 11 Pro","""'""","2,79"
"CASTEL-25","192.168.0.125","08-BF-B8-6E-20-F3","OK","OK","OK","Admin","DESKTOP-OLV31AA","desktop-olv31aa\admin","Microsoft Windows 11 Pro","""'""","1,09"
