"Host","Status","Detail","Removed","Remaining"
"192.168.0.101","OK","DESKTOP-I9T3046","",""
"192.168.0.102","OK","DESKTOP-E6SPEH2","",""
"192.168.0.103","NO_5985","WinRM cerrado","",""
"192.168.0.104","OK","DESKTOP-6GQ51JK","",""
"192.168.0.105","NO_5985","WinRM cerrado","",""
"192.168.0.106","OK","DESKTOP-66HNF6P","JackOptimized-AutoShutdown-1730",""
"192.168.0.107","OK","DESKTOP-DCR1C3S","JackOptimized-AutoShutdown-1730",""
"192.168.0.108","OK","DESKTOP-3QVL65G","JackOptimized-AutoShutdown-1730",""
"192.168.0.109","OK","DESKTOP-KNJ74BA","JackOptimized-AutoShutdown-1730",""
"192.168.0.110","NO_5985","WinRM cerrado","",""
"192.168.0.111","NO_5985","WinRM cerrado","",""
"192.168.0.112","NO_5985","WinRM cerrado","",""
"192.168.0.113","OK","DESKTOP-NVET6HS","JackOptimized-AutoShutdown-1730",""
"192.168.0.114","NO_5985","WinRM cerrado","",""
"192.168.0.115","OK","DESKTOP-BVTFJBO","JackOptimized-AutoShutdown-1730",""
"192.168.0.116","OK","DESKTOP-7E5P01D","JackOptimized-AutoShutdown-1730",""
"192.168.0.117","NO_5985","WinRM cerrado","",""
"192.168.0.118","OK","DESKTOP-MBF9SFV","JackOptimized-AutoShutdown-1730",""
"192.168.0.119","NO_5985","WinRM cerrado","",""
"192.168.0.120","OK","DESKTOP-LA7EBS8","JackOptimized-AutoShutdown-1730",""
"192.168.0.121","OK","DESKTOP-2TILHL0","JackOptimized-AutoShutdown-1730",""
"192.168.0.122","OK","DESKTOP-25PN4F9","JackOptimized-AutoShutdown-1730",""
"192.168.0.123","OK","DESKTOP-VI1QNL1","JackOptimized-AutoShutdown-1730",""
"192.168.0.124","OK","DESKTOP-R64IKJE","JackOptimized-AutoShutdown-1730",""
"192.168.0.125","OK","DESKTOP-OLV31AA","JackOptimized-AutoShutdown-1730",""
"192.168.0.126","OK","DESKTOP-LAO49MJ","JackOptimized-AutoShutdown-1730",""
"192.168.0.127","NO_5985","WinRM cerrado","",""
"192.168.0.128","OK","DESKTOP-2Q8VV2M","JackOptimized-AutoShutdown-1730",""
"192.168.0.129","OK","DESKTOP-MIMVNEB","JackOptimized-AutoShutdown-1730",""
"192.168.0.130","OK","DESKTOP-GPM0VQR","JackOptimized-AutoShutdown-1730",""
"192.168.0.131","OK","DESKTOP-SOG0JGU","JackOptimized-AutoShutdown-1730",""
"192.168.0.132","NO_5985","WinRM cerrado","",""
"192.168.0.133","NO_5985","WinRM cerrado","",""
"192.168.0.134","OK","DESKTOP-DV24P1L","JackOptimized-AutoShutdown-1730",""
"192.168.0.135","OK","DESKTOP-VTR4H1N","JackOptimized-AutoShutdown-1730",""
"192.168.0.136","OK","DESKTOP-G29IPIP","JackOptimized-AutoShutdown-1730",""
"192.168.0.137","FAIL","No se pudo cerrar la instancia de shell del servidor remoto. Mensaje de error: WinRM no puede completar la operación. Compruebe que el nombre del equipo es válido, que se puede acceder al equipo a través de la red y que la excepción del firewall del servicio WinRM está habilitada y permite el acceso desde este equipo. De manera predeterminada, la excepción de firewall de WinRM para perfiles públicos limita el acceso a equipos remotos dentro de la misma subred local. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","",""
"192.168.0.138","OK","DESKTOP-Q5EDQRQ","",""
"192.168.0.139","OK","DESKTOP-CSR95DJ","JackOptimized-AutoShutdown-1730",""
