"IP","Equipo","Estado","Error"
"192.168.0.111","","WINRM_CERRADO_5985",""
"192.168.0.116","","WINRM_CERRADO_5985",""
"192.168.0.128","","WINRM_CERRADO_5985",""
"192.168.0.144","","WINRM_CERRADO_5985",""
"192.168.0.152","","WINRM_CERRADO_5985",""
"192.168.0.153","","WINRM_CERRADO_5985",""
"192.168.0.162","","WINRM_CERRADO_5985",""
"192.168.0.170","","WINRM_CERRADO_5985",""
"192.168.0.171","","WINRM_CERRADO_5985",""
"192.168.0.176","","WINRM_CERRADO_5985",""
"192.168.0.186","","WINRM_CERRADO_5985",""
"192.168.0.189","","WINRM_CERRADO_5985",""
"192.168.0.194","","WINRM_CERRADO_5985",""
"192.168.0.202","","WINRM_CERRADO_5985",""
"192.168.0.205","","WINRM_CERRADO_5985",""
"192.168.0.212","","WINRM_CERRADO_5985",""
"192.168.0.216","","WINRM_CERRADO_5985",""
"192.168.0.219","","WINRM_CERRADO_5985",""
"192.168.0.223","","WINRM_CERRADO_5985",""
"192.168.0.230","","WINRM_CERRADO_5985",""
"192.168.0.235","","WINRM_CERRADO_5985",""
"192.168.0.241","","WINRM_CERRADO_5985",""
"192.168.0.242","","FALLO_EJECUCION","No tiene permiso para habilitar o deshabilitar la activaci¢n de dispositivos."
"192.168.0.248","","WINRM_CERRADO_5985",""
